BNAME,IDENT,NUM_CLIENTS,ARGS,SAMPLE_SIZE,THROUGHPUT,TIME_UNIT,MEAN,MEDIAN,MIN,MAX,P25,P75,P5,P95,P1,P99
list_traversal,E2E,100,shredder:1:0,100,0,ms,5.299310684204102,4.924178123474121,4.182338714599609,15.498638153076172,4.780471324920654,5.1566362380981445,4.426264762878418,7.778763771057125,4.262590408325195,11.635935306549094
list_traversal,SCHEDULER,100,shredder:1:0,100,0,ms,1.5248680114746094,1.524806022644043,1.3570785522460938,2.2592544555664062,1.4854669570922852,1.5460848808288574,1.4318108558654785,1.586472988128662,1.4005088806152344,1.9309306144714373
list_traversal,KVS,100,shredder:1:0,100,0,ms,3.774442672729492,3.41188907623291,2.70843505859375,14.000415802001953,3.2557249069213867,3.638148307800293,2.9742836952209473,6.250035762786862,2.729206085205078,10.163676738739033
list_traversal,E2E,100,shredder:2:0,100,0,ms,4.946866035461426,4.791736602783203,3.9746761322021484,12.084007263183594,4.459261894226074,5.025267601013184,4.15569543838501,5.47257661819458,4.016926288604736,11.501710414886478
list_traversal,SCHEDULER,100,shredder:2:0,100,0,ms,1.5170979499816895,1.530766487121582,1.4023780822753906,1.8322467803955078,1.4772415161132812,1.551508903503418,1.424717903137207,1.5798687934875488,1.404266357421875,1.593143939971925
list_traversal,KVS,100,shredder:2:0,100,0,ms,3.4297680854797363,3.275632858276367,2.572298049926758,10.536909103393555,2.946615219116211,3.4606456756591797,2.667856216430664,3.9780855178833003,2.5970816612243652,9.958152770996096
list_traversal,E2E,100,shredder:4:0,100,0,ms,4.595954418182373,4.503011703491211,3.7679672241210938,10.80322265625,4.235565662384033,4.6904683113098145,4.018187522888184,5.016887187957764,3.859076499938965,9.953970909118656
list_traversal,SCHEDULER,100,shredder:4:0,100,0,ms,1.5000176429748535,1.4996528625488281,1.268625259399414,2.1893978118896484,1.461327075958252,1.5355944633483887,1.3864755630493164,1.5728950500488281,1.3625669479370117,1.6052126884460478
list_traversal,KVS,100,shredder:4:0,100,0,ms,3.0959367752075195,3.0074119567871094,2.460956573486328,9.283065795898438,2.7193427085876465,3.182053565979004,2.5201797485351562,3.609001636505127,2.498958110809326,8.530352115631107
list_traversal,E2E,100,shredder:8:0,100,0,ms,5.151052474975586,4.887819290161133,4.099845886230469,12.667179107666016,4.6149492263793945,5.083560943603516,4.2250752449035645,6.162440776824946,4.1614508628845215,12.556242942810059
list_traversal,SCHEDULER,100,shredder:8:0,100,0,ms,1.526961326599121,1.5336275100708008,1.3203620910644531,2.2852420806884766,1.4826655387878418,1.5602707862854004,1.3921022415161133,1.5871524810791016,1.3597798347473145,2.20876693725586
list_traversal,KVS,100,shredder:8:0,100,0,ms,3.624091148376465,3.3484697341918945,2.6292800903320312,11.246442794799805,3.057122230529785,3.5629868507385254,2.777576446533203,4.715514183044428,2.6630330085754395,10.979959964752197
list_traversal,E2E,100,shredder:16:0,100,0,ms,4.919731616973877,4.645943641662598,3.901958465576172,11.800289154052734,4.426181316375732,4.871845245361328,4.127466678619385,6.735968589782715,4.034137725830078,11.30980968475342
list_traversal,SCHEDULER,100,shredder:16:0,100,0,ms,1.5494942665100098,1.512289047241211,1.3971328735351562,4.175662994384766,1.481950283050537,1.5524029731750488,1.4367222785949707,1.5856385231018066,1.418139934539795,2.2187018394470317
list_traversal,KVS,100,shredder:16:0,100,0,ms,3.370237350463867,3.1489133834838867,2.4170875549316406,10.247945785522461,2.882242202758789,3.345489501953125,2.619922161102295,3.778779506683345,2.4598097801208496,9.81435060501099
list_traversal,E2E,100,shredder:32:0,100,0,ms,5.047826766967773,4.903912544250488,4.090309143066406,11.657953262329102,4.5362114906311035,5.062103271484375,4.274404048919678,7.037818431854248,4.1318511962890625,11.333405971527101
list_traversal,SCHEDULER,100,shredder:32:0,100,0,ms,1.554708480834961,1.5529394149780273,1.421213150024414,2.222299575805664,1.5299320220947266,1.5685558319091797,1.4847636222839355,1.607668399810791,1.4297103881835938,1.6680908203125029
list_traversal,KVS,100,shredder:32:0,100,0,ms,3.4931182861328125,3.3380985260009766,2.6226043701171875,10.152816772460938,3.0128955841064453,3.506004810333252,2.7383923530578613,5.479788780212402,2.6294493675231934,9.75604295730591
list_traversal,E2E,100,shredder:64:0,100,0,ms,5.1516008377075195,4.734992980957031,4.041910171508789,30.90500831604004,4.4915080070495605,4.969120025634766,4.121899604797363,6.137120723724364,4.0615010261535645,11.320290565490824
list_traversal,SCHEDULER,100,shredder:64:0,100,0,ms,1.7741870880126953,1.502394676208496,1.3537406921386719,27.78339385986328,1.4789700508117676,1.5375018119812012,1.4309048652648926,1.5830755233764648,1.3830089569091797,2.4717736244202966
list_traversal,KVS,100,shredder:64:0,100,0,ms,3.377413749694824,3.192782402038574,2.5441646575927734,9.690046310424805,3.023684024810791,3.4127235412597656,2.6029109954833984,4.547154903411865,2.5748491287231445,9.310030937194826
list_traversal,E2E,100,shredder:128:0,100,0,ms,4.9425482749938965,4.701375961303711,4.002809524536133,12.613534927368164,4.537701606750488,4.869341850280762,4.176628589630127,5.185937881469727,4.108080863952637,11.939892768859867
list_traversal,SCHEDULER,100,shredder:128:0,100,0,ms,1.5006327629089355,1.5037059783935547,1.3396739959716797,2.1038055419921875,1.479804515838623,1.5175938606262207,1.4340639114379883,1.5355467796325684,1.3802719116210938,1.5571498870849636
list_traversal,KVS,100,shredder:128:0,100,0,ms,3.441915512084961,3.212451934814453,2.492189407348633,11.070966720581055,3.03727388381958,3.3687353134155273,2.6867151260375977,3.698146343231201,2.5882554054260254,10.478756427764896
